ID	DOCULECT	DOCULECT_OLD	CONCEPT	LANGID	VALUE	FORM	COG	TOKENS	COGID	SEGMENTS	SONARS	PROSTRINGS	CLASSES	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID	ALIGNMENT
74	Wauyai	Wauyai	1plexcl	58	amfata	amfata	1plexcl-2	a m ɸ a t a	8	a m ɸ a t a	7 4 3 7 1 7	XMBYBZ	AMBATA	58.A.V 58.M.c 58.B.C 58.A.V 58.T.C 58.A.V	1.5 1.1 1.75 1.3 1.75 0.8	amɸata	0	16	a m ɸ a t a
75	Waropen	Waropen (held)	1plexcl	57	ami, amo	ami	1plexcl-1	a m i	7	a m i	7 4 7	XBZ	AMI	57.A.V 57.M.C 57.I.V	1.5 1.75 0.8	ami	0	13	- a m - - i
76	Umar	Umar	1plexcl	55	emi	emi	1plexcl-1	e m i	7	e m i	7 4 7	XBZ	EMI	55.E.V 55.M.C 55.I.V	1.5 1.75 0.8	emi	0	13	- e m - - i
77	Yaur	Yaur	1plexcl	59	omí'é	omí'é	1plexcl-1	o m í ʔ é	7	o m í ʔ é	7 4 7 1 7	XBYBZ	UMIHE	59.U.V 59.M.C 59.I.V 59.H.C 59.E.V	1.5 1.75 1.3 1.75 0.8	omíʔé	0	13	- o m í ʔ é
78	Yerisiam	Yerisiam	1plexcl	60	nem, néemé	nem	1plexcl-1	n e m	7	n e m	4 7 4	AXN	NEM	60.N.C 60.E.V 60.M.c	2.0 1.5 0.8	nem	0	19	n e m
79	Moor	Moor	1plexcl	50	áma	áma	1plexcl-1	á m a	7	á m a	7 4 7	XBZ	AMA	50.A.V 50.M.C 50.A.V	1.5 1.75 0.8	áma	0	13	- á m - - a
80	Warembori	Warembori	1plexcl	56	ami	ami	1plexcl-1	a m i	7	a m i	7 4 7	XBZ	AMI	56.A.V 56.M.C 56.I.V	1.5 1.75 0.8	ami	0	13	- a m - - i
81	Cebuano_outgroup	Cebuano	1sg		ako	ako	1sg-1	a k o	11	a k o	7 1 7	XBZ	AKU	.A.V .K.C .U.V	1.5 1.75 0.8	ako	0	25	- a k o
84	Wamesa	WAD	1sg	30	yau	yau	1sg-1	j a u	11	j a u	6 7 7	AXZ	JAY	30.J.C 30.A.V 30.Y.V	2.0 1.5 0.8	jau	0	23	- j a u -
85	Ambai	Ambai	1sg	31	yau	yau	1sg-1	j a u	11	j a u	6 7 7	AXZ	JAY	31.J.C 31.A.V 31.Y.V	2.0 1.5 0.8	jau	0	23	- j a u -
