ID	DOCULECT	DOCULECT_OLD	CONCEPT	LANGID	VALUE	FORM	COG	TOKENS	COGID	SEGMENTS	SONARS	PROSTRINGS	CLASSES	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID	ALIGNMENT
7097	Laganyan	Laganyan	wet	46	balomo	balomo	wet-2	b a l o m o	2500	b a l o m o	1 7 5 7 4 7	AXBYBZ	PALUMU	46.P.C 46.A.V 46.L.C 46.U.V 46.M.C 46.U.V	2.0 1.5 1.75 1.3 1.75 0.8	balomo	0	2898	- b a l o m o -
7098	Irarutu	Irarutu (Mats)	wet	43	səroere	səroere	wet-43	s ə r o e r e	2507	s ə r o e r e	3 7 5 7 7 5 7	AXBYYBZ	SERUERE	43.S.C 43.E.V 43.R.C 43.U.V 43.E.V 43.R.C 43.E.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	səroere	0	2906	s ə r o e r e
7099	Ambel	Ambel (rem)	wet	32	amasut	amasut	wet-32	a m a s u t	2501	a m a s u t	7 4 7 3 7 1	XBYBYN	AMASYT	32.A.V 32.M.C 32.A.V 32.S.C 32.Y.V 32.T.c	1.5 1.75 1.3 1.75 1.3 0.8	amasut	0	2901	a m a s u t
7100	Matbat	Matbat	wet	47	sano¹m	sano¹m	wet-47	s a n o ¹ m	2509	s a n o ¹ m	3 7 4 7 8 4	AXBYTN	SANU6M	47.S.C 47.A.V 47.N.C 47.U.V 47.6.T 47.M.c	1.6 3.0 1.3 3.0 1.0 0.5	sano¹m	0	2909	s a n o ¹ m
7101	Maya_Misool	Ma'ya Misool	wet	48	malo¹²m	malo¹²m	wet-2	m a l ¹²/o m	2500	m a l o m	4 7 5 7 4	AXBYN	MALUM	48.M.C 48.A.V 48.L.C 48.U.V 48.M.c	2.0 1.5 1.75 1.3 0.8	malom	0	2898	- m a l ¹²/o - - m
7102	Maya_Salawati	Ma'ya Salawati	wet	49	malo¹²m	malo¹²m	wet-2	m a l ¹²/o m	2500	m a l o m	4 7 5 7 4	AXBYN	MALUM	49.M.C 49.A.V 49.L.C 49.U.V 49.M.c	2.0 1.5 1.75 1.3 0.8	malom	0	2898	- m a l ¹²/o - - m
7103	Sawai	Sawai (CAD)	wet	51	n-mɛlom	n-mɛlom	wet-2	n m ɛ l o m	2500	n m ɛ l o m	4 4 7 5 7 4	ACYBYN	NMELUM	51.N.C 51.M.C 51.E.V 51.L.C 51.U.V 51.M.c	2.0 1.5 1.3 1.75 1.3 0.8	nmɛlom	0	2898	n m ɛ l o - - m
7104	Taba	Taba	wet	54	kabús	kabús	wet-54	k a b ú s	2511	k a b ú s	1 7 1 7 3	AXBYN	KAPYS	54.K.C 54.A.V 54.P.C 54.Y.V 54.S.c	2.0 1.5 1.75 1.3 0.8	kabús	0	2897	k a - b ú s -
7105	Waropen	Waropen (held)	wet	57	neneno	neneno	wet-57	n e n e n o	2513	n e n e n o	4 7 4 7 4 7	AXBYBZ	NENENU	57.N.C 57.E.V 57.N.C 57.E.V 57.N.C 57.U.V	2.0 1.5 1.75 1.3 1.75 0.8	neneno	0	2899	n e n e n o
7106	Umar	Umar	wet	55	brom	brom	wet-2	b r o m	2500	b r o m	1 5 7 4	ACXN	PRUM	55.P.C 55.R.C 55.U.V 55.M.c	2.0 1.5 1.5 0.8	brom	0	2912	b r o m
7107	Yaur	Yaur	wet	59	némárò	némárò	wet-2	n é m á r ò	2500	n é m á r ò	4 7 4 7 5 7	AXBYBZ	NEMARU	59.N.C 59.E.V 59.M.C 59.A.V 59.R.C 59.U.V	2.0 1.5 1.75 1.3 1.75 0.8	némárò	0	2899	n é m á r ò
7108	Yerisiam	Yerisiam	wet	60	tátéerámé	tátéerámé	wet-60	t á t é e r á m é	2514	t á t é e r á m é	1 7 1 7 7 5 7 4 7	AXBYYBYBZ	TATEERAME	60.T.C 60.A.V 60.T.C 60.E.V 60.E.V 60.R.C 60.A.V 60.M.C 60.E.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	tátéerámé	0	2913	t á t é e r á m é
7109	Moor	Moor	wet	50	hararu'î	hararu'î	wet-50	h a r a r u ʔ î	2510	h a r a r u ʔ î	3 7 5 7 5 7 1 7	AXBYBYBZ	HARARYHI	50.H.C 50.A.V 50.R.C 50.A.V 50.R.C 50.Y.V 50.H.C 50.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	hararuʔî	0	2910	h a r a r u ʔ î
7110	Warembori	Warembori	wet	56	pere-o	pere-o	wet-56	p e r e o	2512	p e r e o	1 7 5 7 7	AXBYZ	PEREU	56.P.C 56.E.V 56.R.C 56.E.V 56.U.V	2.0 1.5 1.75 1.3 0.8	pereo	1	2897	p e - r e - o
7111	Cebuano_outgroup	Cebuano	what		únsa	únsa	what-2	ú n s a	2518	ú n s a	7 4 3 7	XMBZ	YNSA	.Y.V .N.c .S.C .A.V	1.5 1.1 1.75 0.8	únsa	0	2918	- ú n s - a
7114	Wamesa	WAD	what	30	vitoi	vitoi	what-30	β i t o i	2520	β i t o i	3 7 1 7 7	AXBYZ	BITUI	30.B.C 30.I.V 30.T.C 30.U.V 30.I.V	2.0 1.5 1.75 1.3 0.8	βitoi	0	2916	β i t o i
7115	Ambai	Ambai	what	31	fiani	fiani	what-31	ɸ i a n i	2521	ɸ i a n i	3 7 7 4 7	AXYBZ	BIANI	31.B.C 31.I.V 31.A.V 31.N.C 31.I.V	2.0 1.5 1.3 1.75 0.8	ɸiani	0	2921	ɸ i a n i
7116	Ansus_PD	Ansus (P&D)	what	33	petoi	petoi	what-33	p e t o i	2522	p e t o i	1 7 1 7 7	AXBYZ	PETUI	33.P.C 33.E.V 33.T.C 33.U.V 33.I.V	2.0 1.5 1.75 1.3 0.8	petoi	0	2916	p e t o i
7117	Ansus_EG	Ansus (EG)	what		pitoi	pitoi	what-	p i t o i	2516	p i t o i	1 7 1 7 7	AXBYZ	PITUI	.P.C .I.V .T.C .U.V .I.V	2.0 1.5 1.75 1.3 0.8	pitoi	0	2916	p i t o i
7118	Pom	Pom	what		wonto	wonto	what-	w o n t o	2516	w o n t o	6 7 4 1 7	AXMBZ	WUNTU	.W.C .U.V .N.c .T.C .U.V	2.0 1.5 1.1 1.75 0.8	wonto	0	2918	w o n t - o
7119	Serui_Laut	Serui-Laut (slump)	what	53	fidoe	fidoe	what-53	ɸ i d o e	2527	ɸ i d o e	3 7 1 7 7	AXBYZ	BITUE	53.B.C 53.I.V 53.T.C 53.U.V 53.E.V	2.0 1.5 1.75 1.3 0.8	ɸidoe	0	2916	ɸ i d o e
7120	Kurudu	KURUDU	what	69	pitome	pitome	what-	p i t o m e	2516	p i t o m e	1 7 1 7 4 7	AXBYBZ	PITUME	69.P.C 69.I.V 69.T.C 69.U.V 69.M.C 69.E.V	2.0 1.5 1.75 1.3 1.75 0.8	pitome	0	2928	p i t o m e
7121	Biak	Biak	what	36	ròseï	ròseï	what-2	r ò s e ï	2518	r ò s e ï	5 7 3 7 7	AXBYZ	RUSEI	36.R.C 36.U.V 36.S.C 36.E.V 36.I.V	2.0 1.5 1.75 1.3 0.8	ròseï	0	2917	r ò s e ï
7122	Biak_Numfor	Biak Numfoor (Mandori)	what		rosairya	rosairya	what-	r o s a i r j a	2516	r o s a i r j a	5 7 3 7 7 5 6 7	AXBYYBCZ	RUSAIRJA	.R.C .U.V .S.C .A.V .I.V .R.C .J.C .A.V	2.0 1.5 1.75 1.3 1.3 1.75 1.5 0.8	rosairja	0	2940	r o s a i r j a
7123	Roswar	Roswar	what	70	romdi	romdi	what-	r o m d i	2516	r o m d i	5 7 4 1 7	AXMBZ	RUMTI	70.R.C 70.U.V 70.M.c 70.T.C 70.I.V	2.0 1.5 1.1 1.75 0.8	romdi	0	2931	r o m d i
7124	Roon	Roon	what		romri, romna	romri	what-	r o m r i	2516	r o m r i	5 7 4 5 7	AXBCZ	RUMRI	.R.C .U.V .M.C .R.C .I.V	2.0 1.5 1.75 1.5 0.8	romri	0	2930	r o m r i
7125	Dusner	Dusner	what	39	rosai	rosai	what-2	r o s a i	2518	r o s a i	5 7 3 7 7	AXBYZ	RUSAI	39.R.C 39.U.V 39.S.C 39.A.V 39.I.V	2.0 1.5 1.75 1.3 0.8	rosai	0	2917	r o s a i
7126	Arguni	Arguni	what	34	sanane	sanane	what-4	s a n a n e	2524	s a n a n e	3 7 4 7 4 7	AXBYBZ	SANANE	34.S.C 34.A.V 34.N.C 34.A.V 34.N.C 34.E.V	2.0 1.5 1.75 1.3 1.75 0.8	sanane	0	2938	s a n a n e
7127	As	As (ABVD)	what	35	lɛmatɔa	lɛmatɔa	what-35	l ɛ m a t ɔ a	2523	l ɛ m a t ɔ a	5 7 4 7 1 7 7	AXBYBYZ	LEMATUA	35.L.C 35.E.V 35.M.C 35.A.V 35.T.C 35.U.V 35.A.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8	lɛmatɔa	0	2939	l ɛ m a t ɔ a
7128	Biga	Biga (rem)	what	37	mane	mane	what-4	m a n e	2524	m a n e	4 7 4 7	AXBZ	MANE	37.M.C 37.A.V 37.N.C 37.E.V	2.0 1.5 1.75 0.8	mane	0	2922	m a n e
7129	Buli	Buli	what	38	ahai	ahai	what-1	a h a i	2517	a h a i	7 3 7 7	XBYZ	AHAI	38.A.V 38.H.C 38.A.V 38.I.V	1.5 1.75 1.3 0.8	ahai	0	2941	a h a i
7130	Fiawat	Fiawat (fiawat)	what	40	nahapa	nahapa	what-1	n a h a p a	2517	n a h a p a	4 7 3 7 1 7	AXBYBZ	NAHAPA	40.N.C 40.A.V 40.H.C 40.A.V 40.P.C 40.A.V	2.0 1.5 1.75 1.3 1.75 0.8	nahapa	0	2923	n a h a p a
7131	Gane	Gane	what	41	puí	puí	what-3	p u í	2519	p u í	1 7 7	AXZ	PYI	41.P.C 41.Y.V 41.I.V	2.0 1.5 0.8	puí	0	2916	p u - - í
7132	Gebe	Gebe	what	42	site	site	what-2	s i t e	2518	s i t e	3 7 1 7	AXBZ	SITE	42.S.C 42.I.V 42.T.C 42.E.V	2.0 1.5 1.75 0.8	site	0	2924	s i t e
7133	Kawe	Kawe (rem)	what	44	ansagi	ansagi	what-5	a n s a g i	2526	a n s a g i	7 4 3 7 1 7	XMBYBZ	ANSAKI	44.A.V 44.N.c 44.S.C 44.A.V 44.K.C 44.I.V	1.5 1.1 1.75 1.3 1.75 0.8	ansagi	0	2926	a n s a g i
7134	Kowiai	Kowiai	what	45	lafé	lafé	what-1	l a ɸ é	2517	l a ɸ é	5 7 3 7	AXBZ	LABE	45.L.C 45.A.V 45.B.C 45.E.V	2.0 1.5 1.75 0.8	laɸé	0	2927	l a ɸ é
7135	Laganyan	Laganyan	what	46	an sagya	an sagya	what-5	a n _ s a g j a	2526	a n _ s a g j a	7 4 9 3 7 1 6 7	XN_AXBCZ	AN_SAKJA	46.A.V 46.N.c 46._._ 46.S.C 46.A.V 46.K.C 46.J.C 46.A.V	1.5 0.8 0.0 2.0 1.5 1.75 1.5 0.8	an_sagja	0	2920	a n _ s a g j a
7136	Irarutu	Irarutu (Mats)	what	43	nía	nía	what-43	n í a	2525	n í a	4 7 7	AXZ	NIA	43.N.C 43.I.V 43.A.V	2.0 1.5 0.8	nía	0	2925	n í a
7137	Ambel	Ambel (rem)	what	32	letelapa	letelapa	what-1	l e t e l a p a	2517	l e t e l a p a	5 7 1 7 5 7 1 7	AXBYBYBZ	LETELAPA	32.L.C 32.E.V 32.T.C 32.E.V 32.L.C 32.A.V 32.P.C 32.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	letelapa	0	2937	l e t e l a p a
7138	Matbat	Matbat	what	47	pane²¹n	pane²¹n	what-4	p a n ²¹/e n	2524	p a n e n	1 7 4 7 4	AXBYN	PANEN	47.P.C 47.A.V 47.N.C 47.E.V 47.N.c	2.0 1.5 1.75 1.3 0.8	panen	0	2929	p a n ²¹/e n
7139	Maya_Misool	Ma'ya Misool	what	48	fisagia	fisagia	what-5	ɸ i s a g i a	2526	ɸ i s a g i a	3 7 3 7 1 7 7	AXBYBYZ	BISAKIA	48.B.C 48.I.V 48.S.C 48.A.V 48.K.C 48.I.V 48.A.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8	ɸisagia	0	2919	ɸ i s a g i a
7140	Maya_Salawati	Ma'ya Salawati	what	49	fisa	fisa	what-5	ɸ i s a	2526	ɸ i s a	3 7 3 7	AXBZ	BISA	49.B.C 49.I.V 49.S.C 49.A.V	2.0 1.5 1.75 0.8	ɸisa	0	2919	ɸ i s - - - a
7141	Sekar	Sekar (ABVD)	what	52	safa	safa	what-1	s a ɸ a	2517	s a ɸ a	3 7 3 7	AXBZ	SABA	52.S.C 52.A.V 52.B.C 52.A.V	2.0 1.5 1.75 0.8	saɸa	0	2932	s a ɸ a
7142	Taba	Taba	what	54	pu	pu	what-1	p u	2517	p u	1 7	AX	PY	54.P.C 54.Y.V	2.0 1.5	pu	0	2916	p u - - -
7143	Wauyai	Wauyai	what	58	an sagya	an sagya	what-5	a n _ s a g j a	2526	a n _ s a g j a	7 4 9 3 7 1 6 7	XN_AXBCZ	AN_SAKJA	58.A.V 58.N.c 58._._ 58.S.C 58.A.V 58.K.C 58.J.C 58.A.V	1.5 0.8 0.0 2.0 1.5 1.75 1.5 0.8	an_sagja	0	2920	a n _ s a g j a
7144	Waropen	Waropen (held)	what	57	atanowa	atanowa	what-57	a t a n o w a	2530	a t a n o w a	7 1 7 4 7 6 7	XBYBYBZ	ATANUWA	57.A.V 57.T.C 57.A.V 57.N.C 57.U.V 57.W.C 57.A.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	atanowa	0	2934	a t a n o w a
7145	Umar	Umar	what	55	nandie	nandie	what-55	n a n d i e	2528	n a n d i e	4 7 4 1 7 7	AXMBYZ	NANTIE	55.N.C 55.A.V 55.N.c 55.T.C 55.I.V 55.E.V	2.0 1.5 1.1 1.75 1.3 0.8	nandie	0	2918	n a n d i e
7146	Yaur	Yaur	what	59	náhmè	náhmè	what-59	n á h m è	2531	n á h m è	4 7 3 4 7	AXBCZ	NAHME	59.N.C 59.A.V 59.H.C 59.M.C 59.E.V	2.0 1.5 1.75 1.5 0.8	náhmè	0	2935	n á h m è
7147	Yerisiam	Yerisiam	what	60	mòkèrà	mòkèrà	what-60	m ò k è r à	2532	m ò k è r à	4 7 1 7 5 7	AXBYBZ	MUKERA	60.M.C 60.U.V 60.K.C 60.E.V 60.R.C 60.A.V	2.0 1.5 1.75 1.3 1.75 0.8	mòkèrà	0	2936	m ò k è r à
7148	Moor	Moor	what	50	rosé	rosé	what-2	r o s é	2518	r o s é	5 7 3 7	AXBZ	RUSE	50.R.C 50.U.V 50.S.C 50.E.V	2.0 1.5 1.75 0.8	rosé	0	2917	r o s é -
7149	Warembori	Warembori	what	56	baisa	baisa	what-56	b a i s a	2529	b a i s a	1 7 7 3 7	AXYBZ	PAISA	56.P.C 56.A.V 56.I.V 56.S.C 56.A.V	2.0 1.5 1.3 1.75 0.8	baisa	0	2933	b a i s a
7150	Cebuano_outgroup	Cebuano	where		asa, hain	asa	where-70	a s a	2556	a s a	7 3 7	XBZ	ASA	.A.V .S.C .A.V	1.5 1.75 0.8	asa	0	2942	- a s - - a
7151	Cebuano_outgroup	Cebuano	where		asa, hain	hain	where-15	_ h a i n	2535	_ h a i n	9 3 7 7 4	_AXYN	_HAIN	._._ .H.C .A.V .I.V .N.c	0.0 2.0 1.5 1.3 0.8	_hain	0	2960	_ h a i n
7153	Wamesa	WAD	where	30	na toi	na toi	where-30	n a _ t o i	2537	n a _ t o i	4 7 9 1 7 7	AX_AXZ	NA_TUI	30.N.C 30.A.V 30._._ 30.T.C 30.U.V 30.I.V	2.0 1.5 0.0 2.0 1.5 0.8	na_toi	0	2945	n a _ t - - o i
7154	Ambai	Ambai	where	31	na-doni	na-doni	where-2	n a d o n i	2536	n a d o n i	4 7 1 7 4 7	AXBYBZ	NATUNI	31.N.C 31.A.V 31.T.C 31.U.V 31.N.C 31.I.V	2.0 1.5 1.75 1.3 1.75 0.8	nadoni	0	2944	n a - - d o n i -
7155	Ansus_PD	Ansus (P&D)	where	33	na tatoi	na tatoi	where-30	n a _ t a t o i	2537	n a _ t a t o i	4 7 9 1 7 1 7 7	AX_AXBYZ	NA_TATUI	33.N.C 33.A.V 33._._ 33.T.C 33.A.V 33.T.C 33.U.V 33.I.V	2.0 1.5 0.0 2.0 1.5 1.75 1.3 0.8	na_tatoi	0	2945	n a _ t a t o i
7156	Ansus_EG	Ansus (EG)	where		andino	andino	where-	a n d i n o	2533	a n d i n o	7 4 1 7 4 7	XMBYBZ	ANTINU	.A.V .N.c .T.C .I.V .N.C .U.V	1.5 1.1 1.75 1.3 1.75 0.8	andino	0	2944	- a n - d i n - o
7157	Pom	Pom	where		riodino	riodino	where-	r i o d i n o	2533	r i o d i n o	5 7 7 1 7 4 7	AXYBYBZ	RIUTINU	.R.C .I.V .U.V .T.C .I.V .N.C .U.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	riodino	0	2944	r i - o d i n - o
7158	Serui_Laut	Serui-Laut (slump)	where	53	nadonie	nadonie	where-53	n a d o n i e	2550	n a d o n i e	4 7 1 7 4 7 7	AXBYBYZ	NATUNIE	53.N.C 53.A.V 53.T.C 53.U.V 53.N.C 53.I.V 53.E.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8	nadonie	0	2944	n a - - d o n i e
7159	Kurudu	KURUDU	where	69	nyanome	nyanome	where-	n j a n o m e	2533	n j a n o m e	4 6 7 4 7 4 7	ACXBYBZ	NJANUME	69.N.C 69.J.C 69.A.V 69.N.C 69.U.V 69.M.C 69.E.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	njanome	0	2954	n j a n o m e
7160	Biak	Biak	where	36	mòbò	mòbò	where-36	m ò b ò	2541	m ò b ò	4 7 1 7	AXBZ	MUPU	36.M.C 36.U.V 36.P.C 36.U.V	2.0 1.5 1.75 0.8	mòbò	0	2949	m ò b ò
7161	Biak_Betew	Biak Betew (Mutus)	where		io	io	where-	i o	2533	i o	7 7	XZ	IU	.I.V .U.V	1.5 0.8	io	0	2950	i o
7162	Biak_Numfor	Biak Numfoor (Mandori)	where		iso	iso	where-	i s o	2533	i s o	7 3 7	XBZ	ISU	.I.V .S.C .U.V	1.5 1.75 0.8	iso	0	2942	- i s o - -
7163	Roswar	Roswar	where	70	riyo	riyo	where-	r i j o	2533	r i j o	5 7 6 7	AXBZ	RIJU	70.R.C 70.I.V 70.J.C 70.U.V	2.0 1.5 1.75 0.8	rijo	0	2956	r i j o
7164	Roon	Roon	where		mundi	mundi	where-	m u n d i	2533	m u n d i	4 7 4 1 7	AXMBZ	MYNTI	.M.C .Y.V .N.c .T.C .I.V	2.0 1.5 1.1 1.75 0.8	mundi	0	2944	m u n - d i - - -
7165	Dusner	Dusner	where	39	vemundi	vemundi	where-39	β e m u n d i	2543	β e m u n d i	3 7 4 7 4 1 7	AXBYMBZ	BEMYNTI	39.B.C 39.E.V 39.M.C 39.Y.V 39.N.c 39.T.C 39.I.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	βemundi	0	2951	β e m u n d i
7166	Arguni	Arguni	where	34	menaye	menaye	where-34	m e n a j e	2539	m e n a j e	4 7 4 7 6 7	AXBYBZ	MENAJE	34.M.C 34.E.V 34.N.C 34.A.V 34.J.C 34.E.V	2.0 1.5 1.75 1.3 1.75 0.8	menaje	0	2947	m e n a j e
7167	As	As (ABVD)	where	35	yatɛ	yatɛ	where-35	j a t ɛ	2540	j a t ɛ	6 7 1 7	AXBZ	JATE	35.J.C 35.A.V 35.T.C 35.E.V	2.0 1.5 1.75 0.8	jatɛ	0	2943	j a t ɛ
7168	Biga	Biga (rem)	where	37	tute	tute	where-37	t u t e	2542	t u t e	1 7 1 7	AXBZ	TYTE	37.T.C 37.Y.V 37.T.C 37.E.V	2.0 1.5 1.75 0.8	tute	0	2943	t u t e
7169	Buli	Buli	where	38	luā	luā	where-1	l u ā	2534	l u ā	5 7 7	AXZ	LYA	38.L.C 38.Y.V 38.A.V	2.0 1.5 0.8	luā	0	2946	l u ā
7170	Gane	Gane	where	41	paló	paló	where-1	p a l ó	2534	p a l ó	1 7 5 7	AXBZ	PALU	41.P.C 41.A.V 41.L.C 41.U.V	2.0 1.5 1.75 0.8	paló	0	2948	p a l ó
7171	Gebe	Gebe	where	42	loa	loa	where-1	l o a	2534	l o a	5 7 7	AXZ	LUA	42.L.C 42.U.V 42.A.V	2.0 1.5 0.8	loa	0	2946	l o a
7172	Kowiai	Kowiai	where	45	minaning	minaning	where-45	m i n a n i n g	2545	m i n a n i n g	4 7 4 7 4 7 4 1	AXBYBYLN	MINANINK	45.M.C 45.I.V 45.N.C 45.A.V 45.N.C 45.I.V 45.N.c 45.K.c	2.0 1.5 1.75 1.3 1.75 1.3 1.1 0.8	minaning	0	2953	m i n a n i n g
7173	Irarutu	Irarutu (Mats)	where	43	néno	néno	where-43	n é n o	2544	n é n o	4 7 4 7	AXBZ	NENU	43.N.C 43.E.V 43.N.C 43.U.V	2.0 1.5 1.75 0.8	néno	0	2952	n é n o
7174	Ambel	Ambel (rem)	where	32	lote	lote	where-32	l o t e	2538	l o t e	5 7 1 7	AXBZ	LUTE	32.L.C 32.U.V 32.T.C 32.E.V	2.0 1.5 1.75 0.8	lote	0	2943	l o t e
7175	Matbat	Matbat	where	47	do	do	where-47	d o	2546	d o	1 7	AX	TU	47.T.C 47.U.V	2.0 1.5	do	0	2943	d - - o
7176	Maya_Salawati	Ma'ya Salawati	where	49	te	te	where-49	t e	2547	t e	1 7	AX	TE	49.T.C 49.E.V	2.0 1.5	te	0	2943	t - - e
7177	Sekar	Sekar (ABVD)	where	52	ampe	ampe	where-52	a m p e	2549	a m p e	7 4 1 7	XMBZ	AMPE	52.A.V 52.M.c 52.P.C 52.E.V	1.5 1.1 1.75 0.8	ampe	0	2957	a m p e
7178	Taba	Taba	where	54	lo li	lo li	where-1	l o _ l i	2534	l o _ l i	5 7 9 5 7	AX_AX	LU_LI	54.L.C 54.U.V 54._._ 54.L.C 54.I.V	2.0 1.5 0.0 2.0 1.5	lo_li	0	2958	l o _ l i
7179	Waropen	Waropen (held)	where	57	wohona	wohona	where-57	w o h o n a	2553	w o h o n a	6 7 3 7 4 7	AXBYBZ	WUHUNA	57.W.C 57.U.V 57.H.C 57.U.V 57.N.C 57.A.V	2.0 1.5 1.75 1.3 1.75 0.8	wohona	0	2942	w o h o n a
7180	Umar	Umar	where	55	nuevua	nuevua	where-55	n u e β u a	2551	n u e β u a	4 7 7 3 7 7	AXYBYZ	NYEBYA	55.N.C 55.Y.V 55.E.V 55.B.C 55.Y.V 55.A.V	2.0 1.5 1.3 1.75 1.3 0.8	nueβua	0	2959	n u e β u a
7181	Yaur	Yaur	where	59	érà	érà	where-59	é r à	2554	é r à	7 5 7	XBZ	ERA	59.E.V 59.R.C 59.A.V	1.5 1.75 0.8	érà	0	2942	- - - é r à
7182	Yerisiam	Yerisiam	where	60	méhà	méhà	where-60	m é h à	2555	m é h à	4 7 3 7	AXBZ	MEHA	60.M.C 60.E.V 60.H.C 60.A.V	2.0 1.5 1.75 0.8	méhà	0	2942	m é h - - à
7183	Moor	Moor	where	50	vi	vi	where-50	β i	2548	β i	3 7	AX	BI	50.B.C 50.I.V	2.0 1.5	βi	0	2955	β i
7184	Warembori	Warembori	where	56	wate	wate	where-56	w a t e	2552	w a t e	6 7 1 7	AXBZ	WATE	56.W.C 56.A.V 56.T.C 56.E.V	2.0 1.5 1.75 0.8	wate	0	2942	w a t e - -
7185	Cebuano_outgroup	Cebuano	white		putí	putí	white-1	p u t í	2558	p u t í	1 7 1 7	AXBZ	PYTI	.P.C .Y.V .T.C .I.V	2.0 1.5 1.75 0.8	putí	0	2963	p u t - - í
7189	Wamesa	WAD	white	30	vusa	vusa	white-1	β u s a	2558	β u s a	3 7 3 7	AXBZ	BYSA	30.B.C 30.Y.V 30.S.C 30.A.V	2.0 1.5 1.75 0.8	βusa	0	2961	β - - - - - u - - s a
7190	Ambai	Ambai	white	31	bua	bua	white-1	b u a	2558	b u a	1 7 7	AXZ	PYA	31.P.C 31.Y.V 31.A.V	2.0 1.5 0.8	bua	0	2961	b - - - - - u - - - a
7191	Ansus_PD	Ansus (P&D)	white	33	bua	bua	white-1	b u a	2558	b u a	1 7 7	AXZ	PYA	33.P.C 33.Y.V 33.A.V	2.0 1.5 0.8	bua	0	2961	b - - - - - u - - - a
7192	Ansus_EG	Ansus (EG)	white		biuwa	biuwa	white-	b i u w a	2557	b i u w a	1 7 7 6 7	AXYBZ	PIYWA	.P.C .I.V .Y.V .W.C .A.V	2.0 1.5 1.3 1.75 0.8	biuwa	0	2961	b i - - - - u w - - a
7193	Pom	Pom	white		vewuha	vewuha	white-	β e w u h a	2557	β e w u h a	3 7 6 7 3 7	AXBYBZ	BEWYHA	.B.C .E.V .W.C .Y.V .H.C .A.V	2.0 1.5 1.75 1.3 1.75 0.8	βewuha	0	2963	β e w u h a
7194	Serui_Laut	Serui-Laut (slump)	white	53	bua	bua	white-1	b u a	2558	b u a	1 7 7	AXZ	PYA	53.P.C 53.Y.V 53.A.V	2.0 1.5 0.8	bua	0	2961	b - - - - - u - - - a
7195	Kurudu	KURUDU	white	69	kinaw	kinaw	white-	k i n a w	2557	k i n a w	1 7 4 7 6	AXBYN	KINAW	69.K.C 69.I.V 69.N.C 69.A.V 69.W.c	2.0 1.5 1.75 1.3 0.8	kinaw	0	2970	k i n a w
7196	Biak	Biak	white	36	piòpěr	piòpěr	white-36	p i ò p ě r	2562	p i ò p ě r	1 7 7 1 7 5	AXYBYN	PIUPER	36.P.C 36.I.V 36.U.V 36.P.C 36.E.V 36.R.c	2.0 1.5 1.3 1.75 1.3 0.8	piòpěr	0	2965	- - p i ò p ě r
7197	Biak_Betew	Biak Betew (Mutus)	white		i-pyoper	i-pyoper	white-	i p j o p e r	2557	i p j o p e r	7 1 6 7 1 7 5	XBCYBYN	IPJUPER	.I.V .P.C .J.C .U.V .P.C .E.V .R.c	1.5 1.75 1.5 1.3 1.75 1.3 0.8	ipjoper	0	2962	i p j o p e r -
7198	Biak_Numfor	Biak Numfoor (Mandori)	white		pyoper	pyoper	white-	p j o p e r	2557	p j o p e r	1 6 7 1 7 5	ACXBYN	PJUPER	.P.C .J.C .U.V .P.C .E.V .R.c	2.0 1.5 1.5 1.75 1.3 0.8	pjoper	0	2962	- p j o p e r -
7199	Roswar	Roswar	white	70	we-pyoper	we-pyoper	white-	w e p j o p e r	2557	w e p j o p e r	6 7 1 6 7 1 7 5	AXBCYBYN	WEPJUPER	70.W.C 70.E.V 70.P.C 70.J.C 70.U.V 70.P.C 70.E.V 70.R.c	2.0 1.5 1.75 1.5 1.3 1.75 1.3 0.8	wepjoper	0	2965	w e p j o p e r
7200	Roon	Roon	white		pyoper	pyoper	white-	p j o p e r	2557	p j o p e r	1 6 7 1 7 5	ACXBYN	PJUPER	.P.C .J.C .U.V .P.C .E.V .R.c	2.0 1.5 1.5 1.75 1.3 0.8	pjoper	0	2962	- p j o p e r -
7201	Arguni	Arguni	white	34	rigigit	rigigit	white-34	r i g i g i t	2561	r i g i g i t	5 7 1 7 1 7 1	AXBYBYN	RIKIKIT	34.R.C 34.I.V 34.K.C 34.I.V 34.K.C 34.I.V 34.T.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	rigigit	0	2974	r i g i g i t
7202	As	As (ABVD)	white	35	bus	bus	white-1	b u s	2558	b u s	1 7 3	AXN	PYS	35.P.C 35.Y.V 35.S.c	2.0 1.5 0.8	bus	0	2961	b - - - - - u - - s -
