ID	DOCULECT	CONCEPT	LANGID	VALUE	FORM	COG	COGID	TOKENS
2985	Dusner	grandparent/grandchild	39	apui, tatai	tatai	grandparent/grandchild-4	975	t a t a i
2986	Buli	grandparent/grandchild	38	bu	bu	grandparent/grandchild-2	973	b u
2987	Irarutu (Mats)	grandparent/grandchild	43	dátə	dátə	grandparent/grandchild-43	976	d á t ə
2988	Umar	grandparent/grandchild	55	jai, kakai	jai	grandparent/grandchild-55	977	j a i
2989	Yaur	grandparent/grandchild	59	táatì	táatì	grandparent/grandchild-4	975	t á a t ì
2990	Yerisiam	grandparent/grandchild	60	gwápúù	gwápúù	grandparent/grandchild-1	972	g w á p ú ù
2991	Moor	grandparent/grandchild	50	kamá	kamá	grandparent/grandchild-3	974	k a m á
2992	Warembori	grandparent/grandchild	56	puma, puavo-ro	puma	grandparent/grandchild-	971	p u m a
2993	PCEMP	grass	67	baliji	baliji	grass-1	979	b a l i j i
2994	PMP	grass	68	baliji	baliji	grass-1	979	b a l i j i
2995	WAD	grass	30	samue	samue	grass-30	981	s a m u e
2996	Ambai	grass	31	afui	afui	grass-31	982	a f u i
2997	Ansus (P&D)	grass	33	nanimpuŋ	nanimpuŋ	grass-33	983	n a n i m p u ŋ
2998	Ansus (EG)	grass		nanimpuŋ	nanimpuŋ	grass-	978	n a n i m p u ŋ
2999	Pom	grass		nanimpu	nanimpu	grass-	978	n a n i m p u
3000	Biak	grass	36	abris	abris	grass-1	979	a b r i s
3001	Roon	grass		averis	averis	grass-	978	a v e r i s
3002	Arguni	grass	34	ricot	ricot	grass-34	984	r i c o t
3003	As (ABVD)	grass	35	kamayu	kamayu	grass-35	985	k a m a y u
3004	Biga (rem)	grass	37	ka'i	ka'i	grass-3	980	k a 'i
3005	Buli	grass	38	wati	wati	grass-3	980	w a t i
3006	Fiawat (fiawat)	grass	40	əyəy	əyəy	grass-40	987	ə y ə y
3007	Gane	grass	41	bibisá	bibisá	grass-1	979	b i b i s á
3008	Gebe	grass	42	kamun	kamun	grass-4	986	k a m u n
3009	Kawe (rem)	grass	44	a'i	a'i	grass-3	980	a 'i
3010	Kowiai	grass	45	maríut	maríut	grass-45	988	m a r í u t
3011	Laganyan	grass	46	anyum(u)	anyum(u)	grass-46	989	a n y u m ( u )
3012	Irarutu (Mats)	grass	43	sawwine	sawwine	grass-30	981	s a ww i n e
3013	Ambel (rem)	grass	32	abris	abris	grass-1	979	a b r i s
3014	Matbat	grass	47	kai¹²	kai¹²	grass-3	980	k a i ¹²
3015	Ma'ya Misool	grass	48	kai³	kai³	grass-3	980	k a i ³
3016	Ma'ya Salawati	grass	49	kai³	kai³	grass-3	980	k a i ³
3017	Sawai (CAD)	grass	51	gɛmunɛ	gɛmunɛ	grass-4	986	g ɛ m u n ɛ
3018	Sekar (ABVD)	grass	52	riri	riri	grass-52	991	r i r i
3019	Taba	grass	54	ddawa	ddawa	grass-54	992	dd a w a
3020	Wauyai	grass	58	kai	kai	grass-3	980	k a i
3021	Waropen (held)	grass	57	sia	sia	grass-57	993	s i a
3022	Umar	grass	55	hanuen	hanuen	grass-30	981	h a n u e n
3023	Yaur	grass	59	náamè'ré	náamè'ré	grass-59	994	n á a m è 'r é
3024	Yerisiam	grass	60	hérénggéèrà	hérénggéèrà	grass-60	995	h é r é n gg é è r à
3025	Moor	grass	50	muní'a	muní'a	grass-50	990	m u n í 'a
3026	PCEMP	grill, cook	67	tunu, zakan	tunu	grill, cook-1	997	t u n u
3027	PMP	grill, cook	68	tunu, zakan	tunu	grill, cook-1	997	t u n u
3028	WAD	grill, cook	30	nunu	nunu	grill, cook-1	997	n u n u
3029	Ambai	grill, cook	31	i-nunu(n)	i-nunu(n)	grill, cook-1	997	i n u n u ( n )
3030	Ansus (P&D)	grill, cook	33	nunuŋ	nunuŋ	grill, cook-1	997	n u n u ŋ
3031	Ansus (EG)	grill, cook		ran	ran	grill, cook-	996	r a n
3032	Pom	grill, cook		pare	pare	grill, cook-	996	p a r e
3033	Serui-Laut (slump)	grill, cook	53	nunu, tunu	nunu	grill, cook-1	997	n u n u
3034	Biak	grill, cook	36	kun, fafnap	kun	grill, cook-1	997	k u n
3035	Biak	grill, cook	36	kun, fafnap	fafnap	grill, cook-3	999	f a f n a p
3036	Roon	grill, cook		fanav	fanav	grill, cook-	996	f a n a v
3037	Dusner	grill, cook	39	un	un	grill, cook-1	997	u n
3038	Arguni	grill, cook	34	fo	fo	grill, cook-34	1001	f o
3039	As (ABVD)	grill, cook	35	biap	biap	grill, cook-35	1002	b i a p
3040	Biga (rem)	grill, cook	37	blap	blap	grill, cook-35	1002	b l a p
3041	Buli	grill, cook	38	(n)dak	(n)dak	grill, cook-38	1003	( n ) d a k
3042	Gane	grill, cook	41	go	go	grill, cook-41	1004	g o
3043	Gebe	grill, cook	42	fafɔn	fafɔn	grill, cook-3	999	f a f ɔ n
3044	Kowiai	grill, cook	45	tat	tat	grill, cook-45	1005	t a t
3045	Irarutu (Mats)	grill, cook	43	(ma)tune	(ma)tune	grill, cook-1	997	( m a ) t u n e
3046	Ambel (rem)	grill, cook	32	na-kapíl	na-kapíl	grill, cook-32	1000	n a k a p í l
3047	Matbat	grill, cook	47	ya²¹p	ya²¹p	grill, cook-35	1002	y a ²¹ p
3048	Ma'ya Salawati	grill, cook	49	wa-bla12P	wa-bla12P	grill, cook-35	1002	w a b l a 12 P
3049	Sawai (CAD)	grill, cook	51	n-fa-m-ɔse	n-fa-m-ɔse	grill, cook-51	1006	n f a m ɔ s e
3050	Sekar (ABVD)	grill, cook	52	frubir	frubir	grill, cook-52	1007	f r u b i r
3051	Waropen (held)	grill, cook	57	baro	baro	grill, cook-57	1008	b a r o
3052	Umar	grill, cook	55	tnu, ta	tnu	grill, cook-1	997	t n u
3053	Umar	grill, cook	55	tnu, ta	ta	grill, cook-2	998	t a
3054	Yaur	grill, cook	59	undáe	undáe	grill, cook-1	997	u n d á e
3055	Yerisiam	grill, cook	60	ákáai	ákáai	grill, cook-2	998	á k á a i
3056	Moor	grill, cook	50	a'á	a'á	grill, cook-2	998	a 'á
3057	Warembori	grill, cook	56	kuni, pume	kuni	grill, cook-1	997	k u n i
3058	PCEMP	grow	67	tumbuq	tumbuq	grow-1	1010	t u m b u q
3059	PMP	grow	68	tubuq	tubuq	grow-1	1010	t u b u q
3060	WAD	grow	30	siwara	siwara	grow-30	1011	s i w a r a
3061	Ambai	grow	31	tifu	tifu	grow-1	1010	t i f u
3062	Ansus (P&D)	grow	33	kemamai	kemamai	grow-33	1012	k e m a m a i
3063	Ansus (EG)	grow		suwato	suwato	grow-	1009	s u w a t o
3064	Pom	grow		tanduŋ	tanduŋ	grow-	1009	t a n d u ŋ
3065	Biak	grow	36	sur	sur	grow-36	1013	s u r
3066	Roon	grow		syur	syur	grow-	1009	s y u r
3067	Buli	grow	38	tub	tub	grow-1	1010	t u b
3068	Gane	grow	41	tub	tub	grow-1	1010	t u b
3069	Kowiai	grow	45	súbun	súbun	grow-45	1014	s ú b u n
3070	Ambel (rem)	grow	32	an-tum	an-tum	grow-1	1010	a n t u m
3071	Matbat	grow	47	su³m	su³m	grow-47	1015	s u ³ m
3072	Sawai (CAD)	grow	51	n-tub	n-tub	grow-1	1010	n t u b
3073	Waropen (held)	grow	57	uko	uko	grow-57	1018	u k o
3074	Umar	grow	55	buavar	buavar	grow-55	1017	b u a v a r
3075	Yaur	grow	59	véedéevnè	véedéevnè	grow-59	1019	v é e d é e v n è
3076	Yerisiam	grow	60	tárárìità	tárárìità	grow-60	1020	t á r á r ì i t à
3077	Moor	grow	50	anamî	anamî	grow-50	1016	a n a m î
3078	PCEMP	hair	67	daun ni qulu	daun ni qulu	hair-50	1034	daun ni qulu
3079	WAD	hair	30	runandau	runandau	hair-1	1022	r u n a n d a u
3080	Ambai	hair	31	nu-randaun	nu-randaun	hair-1	1022	n u r a n d a u n
3081	Ansus (P&D)	hair	33	duandauŋ	duandauŋ	hair-1	1022	d u a n d a u ŋ
3082	Ansus (EG)	hair		duandauŋ	duandauŋ	hair-	1021	d u a n d a u ŋ
3083	Pom	hair		runandaun	runandaun	hair-	1021	r u n a n d a u n
3084	Serewen	hair		riunandau	riunandau	hair-	1021	r i u n a n d a u
3085	KURUDU	hair	69	dukoi	dukoi	hair-	1021	d u k o i
3086	Biak	hair	36	snumburaïm	snumburaïm	hair-36	1027	s n u m b u r a ï m
3087	Biak Betew (Mutus)	hair		hnombraem	hnombraem	hair-	1021	h n o m b r a e m
3088	Biak Numfoor (Mandori)	hair		pik	pik	hair-	1021	p i k
3089	Roswar	hair	70	ramar	ramar	hair-	1021	r a m a r
3090	Roon	hair		nondovun	nondovun	hair-	1021	n o n d o v u n
3091	Arguni	hair	34	aru-g...	aru-g...	hair-34	1025	a r u g
3092	As (ABVD)	hair	35	watupis	watupis	hair-35	1026	w a t u p i s
3093	Biga (rem)	hair	37	pa	pa	hair-2	1023	p a
3094	Buli	hair	38	uta	uta	hair-38	1028	u t a
3095	Fiawat (fiawat)	hair	40	enun	enun	hair-40	1030	e n u n
3096	Gane	hair	41	kiklé	kiklé	hair-3	1024	k i k l é
3097	Gebe	hair	42	kaliñun	kaliñun	hair-4	1029	k a l i ñ u n
3098	Kawe (rem)	hair	44	tapla	tapla	hair-2	1023	t a p l a
3099	Kowiai	hair	45	umum fur	umum fur	hair-45	1032	umum fur
3100	Laganyan	hair	46	taplya	taplya	hair-2	1023	t a p l y a
3101	Irarutu (Mats)	hair	43	rogwin fru	rogwin fru	hair-43	1031	rogwin fru
3102	Ambel (rem)	hair	32	pya	pya	hair-2	1023	p y a
3103	Matbat	hair	47	blu¹²n	blu¹²n	hair-47	1033	b l u ¹² n
3104	Ma'ya Misool	hair	48	plya¹²	plya¹²	hair-2	1023	p l y a ¹²
3105	Ma'ya Salawati	hair	49	plya³	plya³	hair-2	1023	p l y a ³
3106	Sekar (ABVD)	hair	52	uni-n faki-n	uni-n faki-n	hair-52	1035	uni-n faki-n
3107	Taba	hair	54	kakle	kakle	hair-3	1024	k a k l e
3108	Wauyai	hair	58	tapla	tapla	hair-2	1023	t a p l a
3109	Waropen (held)	hair	57	sina	sina	hair-57	1038	s i n a
3110	Umar	hair	55	duae	duae	hair-55	1036	d u a e
3111	Yaur	hair	59	dógwáarè	dógwáarè	hair-59	1039	d ó g w á a r è
3112	Yerisiam	hair	60	úurúgùa	úurúgùa	hair-60	1040	ú u r ú g ù a
3113	Moor	hair	50	uránu	uránu	hair-50	1034	u r á n u
3114	Warembori	hair	56	ke-vuran-du	ke-vuran-du	hair-56	1037	k e v u r a n d u
3115	PMP	hand	68	baRa	baRa	hand-1	1042	b a R a
3116	WAD	hand	30	vara	vara	hand-1	1042	v a r a
3117	Ambai	hand	31	wara(ŋ)	wara(ŋ)	hand-1	1042	w a r a ( ŋ )
3118	Ansus (P&D)	hand	33	warau	warau	hand-1	1042	w a r a u
3119	Ansus (EG)	hand		waraŋ	waraŋ	hand-	1041	w a r a ŋ
3120	Pom	hand		waran	waran	hand-	1041	w a r a n
3121	Serewen	hand		ivaran	ivaran	hand-	1041	i v a r a n
3122	Serui-Laut (slump)	hand	53	wara	wara	hand-1	1042	w a r a
3123	KURUDU	hand	69	wekan	wekan	hand-	1041	w e k a n
3124	Biak	hand	36	rwa	rwa	hand-1	1042	r w a
3125	Biak Betew (Mutus)	hand		wramin	wramin	hand-	1041	w r a m i n
3126	Biak Numfoor (Mandori)	hand		bramin	bramin	hand-	1041	b r a m i n
3127	Roswar	hand	70	vra	vra	hand-	1041	v r a
3128	Roon	hand		vara	vara	hand-	1041	v a r a
3129	Dusner	hand	39	vra	vra	hand-1	1042	v r a
3130	Dusner (celd)	hand		vra	vra	hand-	1041	v r a
3131	Arguni	hand	34	ruma	ruma	hand-3	1044	r u m a
3132	As (ABVD)	hand	35	npa	npa	hand-35	1045	n p a
3133	Biga (rem)	hand	37	kanano	kanano	hand-37	1046	k a n a n o
3134	Buli	hand	38	kakamo	kakamo	hand-38	1047	k a k a m o
3135	Fiawat (fiawat)	hand	40	eme lih	eme lih	hand-40	1048	eme lih
3136	Gane	hand	41	komu	komu	hand-55	1052	k o m u
3137	Gebe	hand	42	kame	kame	hand-55	1052	k a m e
3138	Kawe (rem)	hand	44	kop(o)	kop(o)	hand-2	1043	k o p ( o )
3139	Kowiai	hand	45	nima	nima	hand-3	1044	n i m a
3140	Laganyan	hand	46	ane kop(o)	ane kop(o)	hand-2	1043	ane kop(o)
3141	Irarutu (Mats)	hand	43	frá	frá	hand-1	1042	f r á
3142	Ambel (rem)	hand	32	kapyan(i)	kapyan(i)	hand-2	1043	k a p y a n ( i )
3143	Matbat	hand	47	ma²¹ta	ma²¹ta	hand-47	1049	m a ²¹ t a
3144	Ma'ya Misool	hand	48	kane le³s	kane le³s	hand-40	1048	kane le³s
3145	Ma'ya Salawati	hand	49	kane le³s	kane le³s	hand-40	1048	kane le³s
3146	Sawai (CAD)	hand	51	fa-o	fa-o	hand-51	1050	f a o
3147	Sekar (ABVD)	hand	52	nina-n	nina-n	hand-52	1051	n i n a n
3148	Taba	hand	54	komo	komo	hand-55	1052	k o m o
3149	Wauyai	hand	58	gil(o)	gil(o)	hand-58	1053	g i l ( o )
3150	Waropen (held)	hand	57	baha, waha	baha	hand-1	1042	b a h a
3151	Umar	hand	55	mamon	mamon	hand-47	1049	m a m o n
3152	Yaur	hand	59	vrá'ùgwajè	vrá'ùgwajè	hand-1	1042	v r á 'ù g w a j è
3153	Yerisiam	hand	60	bàkí	bàkí	hand-1	1042	b à k í
3154	Moor	hand	50	veréa	veréa	hand-1	1042	v e r é a
3155	Warembori	hand	56	ke-vera-ro	ke-vera-ro	hand-1	1042	k e v e r a r o
3156	PCEMP	head	67	qulu	qulu	head-1	1055	q u l u
3157	PMP	head	68	qulu	qulu	head-1	1055	q u l u
3158	WAD	head	30	ru	ru	head-1	1055	r u
3159	Ambai	head	31	kamiai	kamiai	head-31	1057	k a m i a i
3160	Ansus (P&D)	head	33	dukami	dukami	head-33	1059	d u k a m i
3161	Ansus (EG)	head		dukami	dukami	head-	1054	d u k a m i
3162	Pom	head		rohina	rohina	head-	1054	r o h i n a
3163	Serewen	head		rihina	rihina	head-	1054	r i h i n a
3164	Serui-Laut (slump)	head	53	mananu	mananu	head-53	1068	m a n a n u
3165	KURUDU	head	69	du	du	head-	1054	d u
3166	Biak	head	36	rwu	rwu	head-1	1055	r w u
3167	Biak Betew (Mutus)	head		ukoer	ukoer	head-	1054	u k o e r
3168	Biak Numfoor (Mandori)	head		bukor	bukor	head-	1054	b u k o r
3169	Roswar	head	70	rbu	rbu	head-	1054	r b u
3170	Roon	head		rovu	rovu	head-	1054	r o v u
3171	Dusner	head	39	rvu	rvu	head-1	1055	r v u
3172	Arguni	head	34	aru	aru	head-1	1055	a r u
3173	As (ABVD)	head	35	watuʔ	watuʔ	head-35	1060	w a t u ʔ
3174	Biga (rem)	head	37	u(o), wu	u(o)	head-1	1055	u ( o )
3175	Buli	head	38	boboko	boboko	head-38	1061	b o b o k o
3176	Fiawat (fiawat)	head	40	wom	wom	head-40	1063	w o m
3177	Gane	head	41	poi	poi	head-3	1056	p o i
3178	Gebe	head	42	kutɔ	kutɔ	head-4	1062	k u t ɔ
3179	Kawe (rem)	head	44	aut sap(o)	aut sap(o)	head-4	1062	aut sap(o)
3180	Kowiai	head	45	umun	umun	head-45	1065	u m u n
3181	Laganyan	head	46	asap(o)	asap(o)	head-4	1062	a s a p ( o )
3182	Irarutu (Mats)	head	43	rəguínə	rəguínə	head-43	1064	r ə g u í n ə
3183	Ambel (rem)	head	32	kagalan	kagalan	head-32	1058	k a g a l a n
3184	Matbat	head	47	te¹²¹lo	te¹²¹lo	head-47	1066	t e ¹²¹ l o
3185	Ma'ya Misool	head	48	kau³t	kau³t	head-4	1062	k a u ³ t
3186	Ma'ya Salawati	head	49	kau³t	kau³t	head-4	1062	k a u ³ t
3187	Sawai (CAD)	head	51	bɛbok-o	bɛbok-o	head-38	1061	b ɛ b o k o
3188	Sekar (ABVD)	head	52	uni-n	uni-n	head-52	1067	u n i n
3189	Taba	head	54	poyo	poyo	head-3	1056	p o y o
3190	Wauyai	head	58	kaut	kaut	head-4	1062	k a u t
3191	Waropen (held)	head	57	boai	boai	head-57	1070	b o a i
3192	Umar	head	55	du	du	head-1	1055	d u
3193	Yaur	head	59	dójè	dójè	head-1	1055	d ó j è
3194	Yerisiam	head	60	náarà	náarà	head-60	1071	n á a r à
3195	Moor	head	50	vàru	vàru	head-1	1055	v à r u
3196	Warembori	head	56	ke-rimun-do	ke-rimun-do	head-56	1069	k e r i m u n d o
3197	PCEMP	hear	67	dəŋəR	dəŋəR	hear-1	1073	d ə ŋ ə R
3198	PMP	hear	68	deŋeR	deŋeR	hear-1	1073	d e ŋ e R
3199	WAD	hear	30	adiawa	adiawa	hear-30	1075	a d i a w a
3200	Ambai	hear	31	tara-o	tara-o	hear-3	1074	t a r a o
3201	Ansus (P&D)	hear	33	tarao	tarao	hear-3	1074	t a r a o
3202	Ansus (EG)	hear		tarawo	tarawo	hear-	1072	t a r a w o
3203	Pom	hear		taraho	taraho	hear-	1072	t a r a h o
3204	Serui-Laut (slump)	hear	53	taraoa	taraoa	hear-3	1074	t a r a o a
3205	KURUDU	hear	69	idaor	idaor	hear-	1072	i d a o r
3206	Biak	hear	36	mnàf	mnàf	hear-36	1077	m n à f
3207	Biak Betew (Mutus)	hear		ya-mnaf	ya-mnaf	hear-	1072	y a m n a f
3208	Biak Numfoor (Mandori)	hear		ya-rower	ya-rower	hear-	1072	y a r o w e r
3209	Roswar	hear	70	we-mnaf	we-mnaf	hear-	1072	w e m n a f
3210	Roon	hear		amanaf	amanaf	hear-	1072	a m a n a f
3211	Arguni	hear	34	tanem	tanem	hear-4	1078	t a n e m
3212	As (ABVD)	hear	35	fɔ|lɔŋɔ	fɔ|lɔŋɔ	hear-1	1073	f ɔ| l ɔ ŋ ɔ
3213	Biga (rem)	hear	37	dono	dono	hear-1	1073	d o n o
3214	Buli	hear	38	loŋa	loŋa	hear-1	1073	l o ŋ a
3215	Fiawat (fiawat)	hear	40	l-ehdon	l-ehdon	hear-40	1079	l e h d o n
3216	Gane	hear	41	longa	longa	hear-1	1073	l o n g a
3217	Gebe	hear	42	lɔŋɔ	lɔŋɔ	hear-1	1073	l ɔ ŋ ɔ
3218	Kawe (rem)	hear	44	don(o)	don(o)	hear-1	1073	d o n ( o )
3219	Kowiai	hear	45	bananggar	bananggar	hear-1	1073	b a n a n gg a r
3220	Laganyan	hear	46	don(o)	don(o)	hear-1	1073	d o n ( o )
3221	Irarutu (Mats)	hear	43	ba|nogre	ba|nogre	hear-43	1080	b a| n o g r e
3222	Ambel (rem)	hear	32	l-un	l-un	hear-32	1076	l u n
3223	Matbat	hear	47	no⁴¹ŋ	no⁴¹ŋ	hear-1	1073	n o ⁴¹ ŋ
3224	Ma'ya Misool	hear	48	do¹²n	do¹²n	hear-1	1073	d o ¹² n
3225	Ma'ya Salawati	hear	49	do¹²n	do¹²n	hear-1	1073	d o ¹² n
3226	Sawai (CAD)	hear	51	n-loŋɛ	n-loŋɛ	hear-1	1073	n l o ŋ ɛ
3227	Sekar (ABVD)	hear	52	tanam	tanam	hear-4	1078	t a n a m
3228	Taba	hear	54	malongo	malongo	hear-1	1073	m a l o n g o
3229	Wauyai	hear	58	don(o)	don(o)	hear-1	1073	d o n ( o )
3230	Waropen (held)	hear	57	nata	nata	hear-56	1082	n a t a
3231	Umar	hear	55	nuar	nuar	hear-55	1081	n u a r
3232	Yaur	hear	59	rúunè	rúunè	hear-59	1083	r ú u n è
3233	Yerisiam	hear	60	nó	nó	hear-1	1073	n ó
3234	Moor	hear	50	oranî	oranî	hear-1	1073	o r a n î
3235	Warembori	hear	56	nata-na-o	nata-na-o	hear-56	1082	n a t a n a o
3236	WAD	heart	30	aibuo	aibuo	heart-1	1085	a i b u o
3237	Ambai	heart	31	ai-bon	ai-bon	heart-1	1085	a i b o n
3238	Ansus (P&D)	heart	33	aiboi	aiboi	heart-1	1085	a i b o i
3239	Ansus (EG)	heart		anteni	anteni	heart-	1084	a n t e n i
3240	Pom	heart		nemor	nemor	heart-	1084	n e m o r
3241	KURUDU	heart	69	aibo	aibo	heart-	1084	a i b o
3242	Biak Betew (Mutus)	heart		barmor	barmor	heart-	1084	b a r m o r
3243	Biak Numfoor (Mandori)	heart		ken	ken	heart-	1084	k e n
3244	Roswar	heart	70	aibon	aibon	heart-	1084	a i b o n
3245	Roon	heart		ken	ken	heart-	1084	k e n
3246	Biga (rem)	heart	37	ay pu(o)	ay pu(o)	heart-1	1085	ay pu(o)
3247	Buli	heart	38	puŋ	puŋ	heart-51	1089	p u ŋ
3248	Fiawat (fiawat)	heart	40	ay pu	ay pu	heart-1	1085	ay pu
3249	Kawe (rem)	heart	44	ta'pyuw	ta'pyuw	heart-1	1085	t a 'p y u w
3250	Laganyan	heart	46	malam'pyu	malam'pyu	heart-1	1085	m a l a m 'p y u
3251	Irarutu (Mats)	heart	43	efɯ́	efɯ́	heart-43	1087	e f ɯ́
3252	Ambel (rem)	heart	32	yoy	yoy	heart-2	1086	y o y
3253	Matbat	heart	47	lo²¹y	lo²¹y	heart-2	1086	l o ²¹ y
3254	Ma'ya Misool	heart	48	pa'pyo³	pa'pyo³	heart-1	1085	p a 'p y o ³
3255	Ma'ya Salawati	heart	49	ga³ka'pyo	ga³ka'pyo	heart-1	1085	g a ³ k a 'p y o
3256	Sawai (CAD)	heart	51	puŋ	puŋ	heart-51	1089	p u ŋ
3257	Taba	heart	54	yoco	yoco	heart-54	1090	y o c o
3258	Wauyai	heart	58	ga ka'pyu(o)	ga ka'pyu(o)	heart-1	1085	ga ka'pyu(o)
3259	Umar	heart	55	atunae	atunae	heart-55	1091	a t u n a e
3260	Yaur	heart	59	áakúgùa	áakúgùa	heart-59	1092	á a k ú g ù a
3261	Moor	heart	50	sinevà'u	sinevà'u	heart-50	1088	s i n e v à 'u
3262	PCEMP	heavy	67	ma-bəRat	ma-bəRat	heavy-3	1095	m a b ə R a t
3263	PMP	heavy	68	ma-beReqat	ma-beReqat	heavy-3	1095	m a b e R e q a t
3264	WAD	heavy	30	marabat	marabat	heavy-3	1095	m a r a b a t
3265	Ambai	heavy	31	maraba	maraba	heavy-3	1095	m a r a b a
3266	Ansus (P&D)	heavy	33	mamba	mamba	heavy-3	1095	m a m b a
3267	Ansus (EG)	heavy		memba	memba	heavy-	1093	m e m b a
3268	Pom	heavy		mambat	mambat	heavy-	1093	m a m b a t
3269	KURUDU	heavy	69	mimbat	mimbat	heavy-	1093	m i m b a t
3270	Biak Betew (Mutus)	heavy		i-marwak	i-marwak	heavy-	1093	i m a r w a k
3271	Biak Numfoor (Mandori)	heavy		myarbak (3sg)	myarbak (3sg)	heavy-	1093	myarbak (3sg)
3272	Roswar	heavy	70	rimarwak	rimarwak	heavy-	1093	r i m a r w a k
3273	Roon	heavy		marvak	marvak	heavy-	1093	m a r v a k
3274	Arguni	heavy	34	manase	manase	heavy-43	1097	m a n a s e
3275	As (ABVD)	heavy	35	masɔn	masɔn	heavy-5	1099	m a s ɔ n
3276	Biga (rem)	heavy	37	mason	mason	heavy-5	1099	m a s o n
3277	Fiawat (fiawat)	heavy	40	meson	meson	heavy-5	1099	m e s o n
3278	Gane	heavy	41	batona	batona	heavy-41	1096	b a t o n a
3279	Gebe	heavy	42	kapiatan	kapiatan	heavy-3	1095	k a p i a t a n
3280	Kawe (rem)	heavy	44	apyatan	apyatan	heavy-3	1095	a p y a t a n
3281	Kowiai	heavy	45	uyéman	uyéman	heavy-45	1098	u y é m a n
3282	Laganyan	heavy	46	mpatan, maʃon	mpatan	heavy-3	1095	m p a t a n
3283	Laganyan	heavy	46	mpatan, maʃon	maʃon	heavy-5	1099	m a ʃ o n
3284	Irarutu (Mats)	heavy	43	riməne	riməne	heavy-43	1097	r i m ə n e
3285	Ambel (rem)	heavy	32	amon	amon	heavy-1	1094	a m o n
3286	Matbat	heavy	47	mo¹n	mo¹n	heavy-1	1094	m o ¹ n
3287	Ma'ya Misool	heavy	48	mpata¹²n	mpata¹²n	heavy-3	1095	m p a t a ¹² n
3288	Ma'ya Salawati	heavy	49	pata³n	pata³n	heavy-3	1095	p a t a ³ n
3289	Sawai (CAD)	heavy	51	n-mɛʔtɛw	n-mɛʔtɛw	heavy-51	1101	n m ɛ ʔ t ɛ w
3290	Sekar (ABVD)	heavy	52	ma|berat	ma|berat	heavy-3	1095	m a| b e r a t
3291	Taba	heavy	54	mapot	mapot	heavy-3	1095	m a p o t
3292	Waropen (held)	heavy	57	mahuna	mahuna	heavy-57	1102	m a h u n a
3293	Umar	heavy	55	mat	mat	heavy-3	1095	m a t
3294	Yaur	heavy	59	némáanèdúrùe	némáanèdúrùe	heavy-59	1103	n é m á a n è d ú r ù e
3295	Yerisiam	heavy	60	máakí	máakí	heavy-3	1095	m á a k í
3296	Moor	heavy	50	sarianggú	sarianggú	heavy-50	1100	s a r i a n gg ú
3297	Warembori	heavy	56	mambayo	mambayo	heavy-3	1095	m a m b a y o
3298	PCEMP	hit	67	bunuq	bunuq	hit-51	1120	b u n u q
3299	PMP	hit	68	buNuk	buNuk	hit-51	1120	b u N u k
3300	WAD	hit	30	rora	rora	hit-1	1105	r o r a
3301	Ambai	hit	31	boi	boi	hit-2	1106	b o i
3302	Ansus (P&D)	hit	33	rora	rora	hit-1	1105	r o r a
3303	Ansus (EG)	hit		rora	rora	hit-	1104	r o r a
3304	Pom	hit		tuŋ	tuŋ	hit-	1104	t u ŋ
3305	Serewen	hit		repa	repa	hit-	1104	r e p a
3306	Serui-Laut (slump)	hit	53	boi	boi	hit-2	1106	b o i
3307	KURUDU	hit	69	munna?	munna?	hit-	1104	m u nn a ?
3308	Biak	hit	36	ràb	ràb	hit-36	1109	r à b
3309	Biak Betew (Mutus)	hit		ya-mun	ya-mun	hit-	1104	y a m u n
3310	Biak Numfoor (Mandori)	hit		i-mun / i-prere	i-mun / i-prere	hit-	1104	i-mun / i-prere
3311	Roswar	hit	70	we-nap	we-nap	hit-	1104	w e n a p
3312	Roon	hit		mun	mun	hit-	1104	m u n
3313	Dusner	hit	39	tumbu	tumbu	hit-39	1111	t u m b u
3314	Arguni	hit	34	pʷaper	pʷaper	hit-3	1107	pʷ a p e r
3315	As (ABVD)	hit	35	təbɛlɛ	təbɛlɛ	hit-35	1108	t ə b ɛ l ɛ
3316	Biga (rem)	hit	37	esbagal	esbagal	hit-37	1110	e s b a g a l
3317	Buli	hit	38	pun	pun	hit-4	1112	p u n
3318	Gane	hit	41	bolam	bolam	hit-41	1113	b o l a m
3319	Gebe	hit	42	aswa	aswa	hit-42	1114	a s w a
3320	Kowiai	hit	45	bába, fun	bába	hit-3	1107	b á b a
3321	Kowiai	hit	45	bába, fun	fun	hit-4	1112	f u n
3322	Irarutu (Mats)	hit	43	dəbé	dəbé	hit-43	1115	d ə b é
3323	Ambel (rem)	hit	32	n-bun	n-bun	hit-4	1112	n b u n
3324	Matbat	hit	47	du³t	du³t	hit-47	1116	d u ³ t
3325	Ma'ya Misool	hit	48	be¹²t	be¹²t	hit-48	1117	b e ¹² t
3326	Ma'ya Salawati	hit	49	wa-tabe21’le3	wa-tabe21’le3	hit-35	1108	w a t a b e 21 ’ l e 3
3327	Sawai (CAD)	hit	51	n-pun	n-pun	hit-51	1120	n p u n
3328	Sekar (ABVD)	hit	52	baban	baban	hit-52	1121	b a b a n
3329	Taba	hit	54	wet	wet	hit-54	1122	w e t
3330	Waropen (held)	hit	57	muna, we	muna	hit-4	1112	m u n a
3331	Waropen (held)	hit	57	muna, we	we	hit-5	1118	w e
