ID	DOCULECT	CONCEPT	LANGID	VALUE	FORM	COG	COGID	TOKENS
6367	Sekar (ABVD)	thin	52	ma|nipis	ma|nipis	thin-1	2239	m a| n i p i s
6368	Taba	thin	54	mnihis	mnihis	thin-1	2239	m n i h i s
6369	Waropen (held)	thin	57	tako	tako	thin-57	2248	t a k o
6370	Umar	thin	55	mnieh	mnieh	thin-1	2239	m n i e h
6371	Yaur	thin	59	némníhè	némníhè	thin-1	2239	n é m n í h è
6372	Yerisiam	thin	60	máníijáhé	máníijáhé	thin-1	2239	m á n í i j á h é
6373	Moor	thin	50	vera'uvà	vera'uvà	thin-50	2247	v e r a 'u v à
6374	PCEMP	think	67	dəmdəm	dəmdəm	think-	2249	d ə m d ə m
6375	PMP	think	68	demdem	demdem	think-	2249	d e m d e m
6376	WAD	think	30	sanepai	sanepai	think-30	2250	s a n e p a i
6377	Ambai	think	31	ene-tutiau	ene-tutiau	think-31	2251	e n e t u t i a u
6378	Ansus (EG)	think		anewayera	anewayera	think-	2249	a n e w a y e r a
6379	Pom	think		hanehowo	hanehowo	think-	2249	h a n e h o w o
6380	KURUDU	think	69	kyarai	kyarai	think-	2249	k y a r a i
6381	Biak	think	36	swar	swar	think-36	2255	s w a r
6382	Biak Betew (Mutus)	think		i-twar	i-twar	think-	2249	i t w a r
6383	Biak Numfoor (Mandori)	think		kokara / horkara	kokara / horkara	think-	2249	kokara / horkara
6384	Roswar	think	70	swaruser	swaruser	think-	2249	s w a r u s e r
6385	Roon	think		suaruser	suaruser	think-	2249	s u a r u s e r
6386	Arguni	think	34	gamaŋgati	gamaŋgati	think-34	2253	g a m a ŋ g a t i
6387	As (ABVD)	think	35	isɔarfɔ	isɔarfɔ	think-35	2254	i s ɔ a r f ɔ
6388	Biga (rem)	think	37	fikir	fikir	think-37	2256	f i k i r
6389	Buli	think	38	lolam	lolam	think-38	2257	l o l a m
6390	Gane	think	41	bafikir	bafikir	think-37	2256	b a f i k i r
6391	Gebe	think	42	fikir	fikir	think-37	2256	f i k i r
6392	Kowiai	think	45	fi'ir	fi'ir	think-37	2256	f i 'i r
6393	Irarutu (Mats)	think	43	vederbono	vederbono	think-43	2258	v e d e r b o n o
6394	Ambel (rem)	think	32	na-wasán	na-wasán	think-32	2252	n a w a s á n
6395	Ma'ya Salawati	think	49	ø-ba21s ’po3–ne	ø-ba21s ’po3–ne	think-49	2259	ø-ba21s ’po3–ne
6396	Sekar (ABVD)	think	52	nanam	nanam	think-52	2261	n a n a m
